title,full_name
"5G Coverage Planning for Urban Area at Kathmandu City, Nepal",Subarna Shakya
E-Readiness: A Study of Infrastructure for E-Government of Nepal,Subarna Shakya
A Comparative Analysis of Prediction of Student Results Using Decision Trees and Random Forest,Subarna Shakya
Ultrasonographic Evaluation of Inferior Vena Cava: Aorta Index with a Cut-off Value of 1.0 as a Predictor for Hypotension after Induction of General Anesthesia; An …,Subarna Shakya
Academic Performance Prediction Based on Internal Assessment Using Educational Data Mining Techniques: Shifting the Paradigm,Subarna Shakya
Analysis of Depth of Entropy and GINI Index Based Decision Trees for Predicting Diabetes,Subarna Shakya
Comparison of algorithms in foreign exchange rate prediction,Subarna Shakya
Proceedings of International Conference on Sustainable Expert Systems: ICSES 2020,Subarna Shakya
Retraction Note to: Chapters,Subarna Shakya
Text-to-Image Synthesis using Conditional Stacked Generative Adversarial Network with Skip-Thought Vectors,Subarna Shakya
Machine Learning Methods for the Prediction of Paddy Productivity in Nepal,Subarna Shakya
Preface: International Conference on Trends in Material Science and Inventive Materials ICTMIM2020,Subarna Shakya
Portfolio Optimization: A Study of Nepal Stock Exchange,Subarna Shakya
Usages of AI Technologies in Nepal’s Disaster Management,Subarna Shakya
Evaluation of Weight Decay Regularization Techniques for Stock Price Prediction using Gated Recurrent unit Network,Subarna Shakya
Preface: International Conference on Trends in Material Science and Inventive Materials (ICTMIM 2019),Subarna Shakya
Predictive use cases of CNN based multi label classification for programming languages,Subarna Shakya
Mobile Edge Computing and Personal Networks,Subarna Shakya
Pre-processing for Road Traffic Congestion Prediction in Nepal Based On GPS Data Using Parallel Computing Strategy,Subarna Shakya
PolyWordNet: Analogous to Human Mind for Word Sense Disambiguation,Subarna Shakya
Distributed Multimedia System for Distance Education,Subarna Shakya
Effectiveness Analysis of Civil Service Using ICT in Nepal,Subarna Shakya
PREVENTIVE DIGITAL DIPLOMACY IN INTERNATIONAL RELATIONS IN FUTURE,Subarna Shakya
"REDUCTION OF INEqUALITY USING EMERGING TECHNOLOGIES.""",Subarna Shakya
Big Data Application for Nepalese Government: A Proposed Solution for Labor Migrant,Subarna Shakya
"ICT, Local Governance and Branchless Banking: Triangular Efforts to Make Social Cash Transfer Easy and Transparent",Subarna Shakya
Smart Cloud Fueling Significant Contribution into Digital Diplomacy in Nepal,Subarna Shakya
Use of ICT in Vital Event Registration in Nepal and its Implementation Challenges,Subarna Shakya
Automated Characters Recognition and Family Relationship Extraction.,Subarna Shakya
V-Synch: Rendering Distance a No-issue with the New Feature of Video Synchronization in Existing Multimedia Platforms.,Subarna Shakya
Foreign Exchange Rate Prediction using Artificial Neural Network and Sentiment Analysis,Subarna Shakya
CHAPTER NINE FREEDOM OF EXPRESSION IN DIGITAL DIPLOMACY MR. RAJENDRA MAN BANEPALI,Subarna Shakya
Word sense disambiguation using PolyWordNet,Subarna Shakya
The Parametric Optimization of voltage regulator based on multiplier,Subarna Shakya
Performance comparison of blocking artifact reduction of compressed image using bilateral & block wiener filter,Subarna Shakya
Task Optimization in Grid Computing using Genetic Algorithm,Subarna Shakya
Digital technology actualizing dialogue of international relations in new form,Subarna Shakya
Stock Market Analysis and Prediction.,Subarna Shakya
e-Government Implementation in Nepal,Subarna Shakya
Automatic Speaker Recognition Using Fuzzy Vector Quantization,Subarna Shakya
A MUTUAL AUTHENTICATION SCHEME FOR LOW COST SMART CARD APPLICATIONS,Subarna Shakya
International Journal of Advanced Engineering,Subarna Shakya
ICSES 2021,Subarna Shakya
Smart Fault Diagnostics using Convolutional Neural Network and Adam Stochastic Optimization,Subarna Shakya
"2019 Artificial Intelligence for Transforming Business and Society November 5, 2019-Hyatt Regency Hotel, Kathmandu, Nepal. _",Subarna Shakya
Know Sure Thing based Machine Learning Strategy for Predicting Stock Trading Signals,Subarna Shakya
Publication Chair,Subarna Shakya
INSTITUTE OF ENGINEERING PULCHOWK CAMPUS DEPARTMENT OF ELECTRONICS AND COMPUTER ENGINEERING,Subarna Shakya
Devastating Earthquake in Nepal: Victims Relief Cash Transfer Through Branchless Banking,Subarna Shakya
Sharing of Telecommunication Data in Nepal,Subarna Shakya
Implementation of Cloud Data Center for Small and Medium-sized Enterprises (SME) in Nepal,Subarna Shakya
An Analysis of Classification Algorithms for Nepali News,Subarna Shakya
Proceedings of International Conference on Sustainable Expert Systems,Subarna Shakya
Green Computing and Internet of Things (ICGCIoT),Subarna Shakya
Co-ordinator,Subarna Shakya
ICICT List of Reviewers,Subarna Shakya
AH-ICI2011 conference program,Subarna Shakya
Vehicle Parking Assistance with Multi-Round Auction and Offload Reduction,Subarna Shakya
Nepali News Headline Generation using Recurrent Neural Networks,Subarna Shakya
E-government Security Readiness Assessment for developing countries.,Subarna Shakya
"Cyber Crime, Cyber Law, Cyber Ethics and Cyber Security in Nepal",Subarna Shakya
An Ensemble Approach for the Diagnosis of Diabetes Mellitus Using Multiple Classifiers,Arun Kumar Timalsina
Anomaly Detection in Wireless Sensor Network using Inverse Weight Clustering and C5.0 Decision Tree,Arun Kumar Timalsina
"Final Report on ""Development of Smart Irrigation System for Optimization of Water Use and Increasing Crop Yield (SISO-WAY)""",Arun Kumar Timalsina
"A Proposal On Study of ""smart irrigation system for optimization of water use and increasing crop yield""",Arun Kumar Timalsina
Anomaly-Based – Intrusion Detection System using User Profile Generated from System Logs,Arun Kumar Timalsina
Improving Nepali News Recommendation Using Classification Based on LSTM Recurrent Neural Networks,Arun Kumar Timalsina
EEG based Directional Signal Classification using RNN Variants,Arun Kumar Timalsina
Plagiarism Detection Framework Using Monte Carlo Based Artificial Neural Network for Nepali Language,Arun Kumar Timalsina
Risk Management in customs using Deep Neural Network,Arun Kumar Timalsina
Automated News Classification using N-gram Model and Key Features of Nepali Language,Arun Kumar Timalsina
Home Automation Enhancement and Music Player Control with EEG Based Headset,Arun Kumar Timalsina
Improving Nepali Document Classification by Neural Network,Arun Kumar Timalsina
Content Distribution and Localization: Sustainable and Efficient Model of Digital Internet Content Management,Arun Kumar Timalsina
A Case Study on Agro-based E-Commerce Portal,Arun Kumar Timalsina
Trend Analysis of Technology News in Nepali Newspapers. A case study: The Kathmandu Post,Arun Kumar Timalsina
RETIENAS: Real Time Intranet based Entrance Examination System at Institute of Engineering,Arun Kumar Timalsina
Challenges for Adopting E-Commerce in Agriculture in Nepalese Context — a Case Study of Kathmandu Valley,Arun Kumar Timalsina
Consumer Attitudes Towards Online Grocery Shopping in Kathmandu Valley,Arun Kumar Timalsina
Improvement of Complexity and Performance of Least Square Based Channel Estimation in MIMO System,Arun Kumar Timalsina
A Trust Enhanced Routing Model for Secured Ad Hoc On-demand Distance Routing Vector,Arun Kumar Timalsina
Color image steganography technique using daubechies discrete wavelet transform,Arun Kumar Timalsina
A framework for personalized dynamic cross-selling in e-commerce retailing,Arun Kumar Timalsina
A novel approach on cooperation and coordination building within a multi-agent system for complex diagnostics,Arun Kumar Timalsina
Personality traits analysis from Facebook data,Aman Shakya
Disaster assessment from satellite imagery by analysing topographical features using deep learning,Aman Shakya
COUNTERFIET PAPER BANKNOTE IDENTIFICATION BASED ON COLOR AND TEXTURE,Aman Shakya
Semantic wiki as a lightweight knowledge management system,Aman Shakya
OntoBlog: Linking Ontology and Blogs.,Aman Shakya
StYLiD: Social information sharing with free creation of structured linked data,Aman Shakya
OntoBlog: informal knowledge management by semantic blogging,Aman Shakya
Sociobiblog: A decentralized platform for sharing bibliographic information,Aman Shakya
Job-candidate matching using ESCO ontology,Aman Shakya
Community-driven linked data authoring and production of consolidated linked data,Aman Shakya
A Semantic Blogging Framework for better Utilization of Information,Aman Shakya
Enhancing MD5 hash algorithm using symmetric key encryption,Aman Shakya
"Plant Leaf Disease Recognition Using Random Forest, KNN, SVM and CNN.",Aman Shakya
Smart job recruitment automation: Bridging industry and university,Aman Shakya
Fish Counting from Underwater Video Sequences by Using Color and Texture,Aman Shakya
Consolidating user-defined concepts with StYLiD,Aman Shakya
A Nepali Rule Based Stemmer and its performance on different NLP applications,Aman Shakya
Casualty Information Extraction and Analysis from News.,Aman Shakya
Creating and sharing structured semantic web contents through the social web,Aman Shakya
A publication aggregation system using semantic blogging,Aman Shakya
An Alumni Portal and Tracking System,Aman Shakya
Association of ABO blood group with susceptibility to SARS-CoV-2 infection in Rupandehi district of Nepal,Aman Shakya
Information sharing on the social semantic web,Aman Shakya
Automatic Pose Estimation of Micro Unmanned Aerial Vehicle for Autonomous Landing,Aman Shakya
RETIENAS: Real Time Intranet Based Entrance Examination System at Institute of Engineering,Aman Shakya
Report on LinkedData Planat Conference,Aman Shakya
Crime ontology extraction from news and social media,Aman Shakya
Search Disaster Victims using Sound Source Localization,Aman Shakya
StYLiD: Structure Your Own Linked Data,Aman Shakya
SocioBiblog: Decentralized Bibliographic Information Sharing through Social Links,Aman Shakya
Fish population estimation from underwater video sequences using blob counting and shape analysis,Aman Shakya
"Prevalence and Factors Associated with Depression, Anxiety, and Stress among Undergraduate Management Students in Kathmandu, Nepal",Aman Shakya
COVID-19-related Nepali Tweets Classification in a Low Resource Setting,Aman Shakya
"Hierarchical Multi Label Classification of News Articles Using RNN, CNN and HAN",Aman Shakya
Disaster Related Tweets Categorization using Multimodal Approach,Aman Shakya
Anomaly Detection in Distributed Streams,Aman Shakya
A Customer Churn Prediction Model using XGBoost for the Telecommunication Industry in Nepal,Aman Shakya
Coronary Artery Disease Prediction Using Neural Network and Random Forest-Based Feature Selection,Aman Shakya
Collaborative Filtering Recommender System Using Genetic Algorithm,Aman Shakya
Incremental K-means Clustering of News Reports,Aman Shakya
Rapid Earthquake Assessment from Satellite Imagery Using RPN and Yolo v3,Aman Shakya
Recurrent Neural Network Based Forecasting of Food Production in Nepal,Aman Shakya
StYLiD: Structured Information Sharing with User-defined Concepts,Aman Shakya
Ontology based Job-Candidate Matching using Skill Sets,Aman Shakya
大学研究者総覧 DB を対象とした横断検索のための概念抽出・統合の試み,Aman Shakya
Road Accident News Information Extraction,Aman Shakya
Community-Driven Consolidated Linked Data,Aman Shakya
A Report on Linked Data,Aman Shakya
A Novel Approach for Utilization and Enhancement of ICT using the Web,Aman Shakya
"Need of E-Recruitment System for Universities: Case of Pulchowk Campus, Nepal",Aman Shakya
SocioBiblog: Enabling Communication on Bibliography with Semantic Blogging.,Aman Shakya
Improvement of Complexity and Performance of Least Square Based Channel Estimation in MIMO System,Anand Kumar Sah
IOE-Bulletin-Poush-2079-Vol27-Issue8,Shashidhar Ram Joshi
IOE-Bulletin-AshwiKartik-2079-Vol27-Issue6,Shashidhar Ram Joshi
IOE-Bulletin-Mangshir-2079-Vol27-Issue7,Shashidhar Ram Joshi
IOE-Bulletin-Bhadra-2079-Vol27-Issue5,Shashidhar Ram Joshi
IOE News Bulletin Vol 27 Issue 3,Shashidhar Ram Joshi
IOE News Bulletin Vol. 27 Issue 1,Shashidhar Ram Joshi
IOE News Bulletin Vol 26 Issue 9,Shashidhar Ram Joshi
IOE-Bulletin-Shrawan-2079-Vol27-Issue4,Shashidhar Ram Joshi
Towards Smart Networking with SDN Enabled IPv6 Network,Shashidhar Ram Joshi
IOE News Bulletin VOl 25 Issue 7,Shashidhar Ram Joshi
IOE News Bulletin Vol 26 Issue 8,Shashidhar Ram Joshi
IOE News Bulletin Vol 26 Issue 4,Shashidhar Ram Joshi
Towards Smart Networking with SDN Enabled IPv6 Network,Shashidhar Ram Joshi
Intelligent Approach to Network Device Migration Planning towards Software-Defined IPv6 Networks,Shashidhar Ram Joshi
IOE News Bulletin Vol 26 Issue 3,Shashidhar Ram Joshi
IOE News Bulletin Vol 26 Issue 2,Shashidhar Ram Joshi
"Analysis, Modeling, and Evaluation of Service Provider Legacy Network Migration to Software-Defined IPv6 Network",Shashidhar Ram Joshi
IOE News Bulletin Vol 26 Issue 1,Shashidhar Ram Joshi
IOE News Bulletin Vol 26 Issue 5,Shashidhar Ram Joshi
Routing Performance Evaluation of a Multi-Domain Hybrid SDN for Its Implementation in Carrier Grade ISP Networks,Shashidhar Ram Joshi
Experimental Evaluation of a Multi-Domain Routing in SDN and its Inter-operability with Legacy Networks,Shashidhar Ram Joshi
Routing Performance Evaluation of a Multi-Domain Hybrid SDN for its Implementation in Carrier Grade ISP Networks,Shashidhar Ram Joshi
Machine Learning based DDoS Detection System in Software- Defined Network,Shashidhar Ram Joshi
"PhD Thesis: Analysis, Modeling, and Evaluation of Service Provider Legacy Network Migration to Software-Defined IPv6 Network",Shashidhar Ram Joshi
Experimental Evaluation of a Multi-domain Routing in SDN and its Inter-operability with Legacy Networks,Shashidhar Ram Joshi
IOE News Bulletin Vol 25 Issue 6,Shashidhar Ram Joshi
"Research Proposal on ""Assess and examine the interference due to frequency allocation for new technologies such as 5G and Short-Range Devices (SRDs)""",Shashidhar Ram Joshi
IOE News Bulletin Vol 25 Issue 5,Shashidhar Ram Joshi
Routing Performance Evaluation of a Multi-Domain Hybrid SDN for its Implementation in Carrier Grade ISP Networks,Shashidhar Ram Joshi
IOE News Bulletin Vol 26 Issue 6,Shashidhar Ram Joshi
ANFIS based Classification Model for Network Device Migration towards SoDIP6 Networks,Shashidhar Ram Joshi
IOE News Bulletin Vol 26 Issue 7,Shashidhar Ram Joshi
IOE News Bulletin Vol 25 Issue 3,Shashidhar Ram Joshi
IOE News Bulletin Vol 25 Issue 2,Shashidhar Ram Joshi
Photographic Text-To-Image Synthesis via Multi-Turn Dialogue Using Attentional GAN,Shashidhar Ram Joshi
IOE News Bulletin Vol 25 Issue 1,Shashidhar Ram Joshi
IOE News Bulletin Vol 25 Issue 4,Shashidhar Ram Joshi
Intelligent approach to switch replacement planning for Internet service provider networks,Shashidhar Ram Joshi
FUZZY BASED APPROACH TO NETWORK DEVICE REPLACEMENT PLANNING,Shashidhar Ram Joshi
Migration cost optimization for service provider legacy network migration to software-defined IPv6 network,Shashidhar Ram Joshi
Legacy Network Integration with SDN-IP Implementation towards a Multi-Domain SoDIP6 Network Environment,Shashidhar Ram Joshi
Evolutionary gaming approach for decision making of Tier- 3 Internet service provider networks migration to SoDIP6 networks,Shashidhar Ram Joshi
Affordable Broadband with Software Defined IPv6 Network for Developing Rural Communities,Shashidhar Ram Joshi
Front cover of IJCS Journal vol 33 issue 11 July 2020 - Evolutionary Gaming Approach for Decision Making of Tier‐3 ISP Networks Migration to SoDIP6 Networks,Shashidhar Ram Joshi
Network device status detection using ANFIS based classification for ISP networks upgrade planning,Shashidhar Ram Joshi
A Comparative Analysis on Performance of Minimum Spanning Tree and K-Means Clustering Based Vertical Fragmentation Algorithm,Shashidhar Ram Joshi
Evolutionary Dynamics of Service Provider Legacy Network Migration to Software Defined IPv6 Network,Shashidhar Ram Joshi
A Clustering Based Vertical Fragmentation and Allocation of a Distributed Database,Shashidhar Ram Joshi
Affordable Broadband with Software Defined IPv6 Network for Rural Communities,Shashidhar Ram Joshi
Evolutionary Dynamics of Service Provider Legacy Network Migration to Software Defined IPv6 Network,Shashidhar Ram Joshi
Recommendations for Energy Efficient SoDIP6 Network Deployment at the Early Stage Rural ICT Expansion of Nepal,Shashidhar Ram Joshi
Software Defined IPv6 Network: A New Paradigm for Future Networking,Shashidhar Ram Joshi
Joint Cost Estimation Approach for Service Provider Legacy Network Migration to Unified Software Defined IPv6 Network,Shashidhar Ram Joshi
joshi2012,Shashidhar Ram Joshi
Evaluating Performance of Nepali Script OCR using Tesseract and Artificial Neural Network,Shashidhar Ram Joshi
RETIENAS: Real Time Intranet based Entrance Examination System at Institute of Engineering,Shashidhar Ram Joshi
Towards energy efficiency and green network infrastructure deployment in Nepal using software defined IPv6 network paradigm,Shashidhar Ram Joshi
"Detail Proposal for ""Analysis, Modeling and Evaluation of Service Provider Network Migration to SoDIP6 Network"".",Shashidhar Ram Joshi
"A Semi-Blind Watermarking of Color Images Using Slant Transform, DWT and SVD",Shashidhar Ram Joshi
"Analysis, Modeling and Evaluation of Service Provider Network Migration to Software Defined IPv6 (SoDIP6) Network",Shashidhar Ram Joshi
A Map Reduce Model to Find Longest Common Subsequence Using Non-alignment Based Approach,Shashidhar Ram Joshi
koju2016,Shashidhar Ram Joshi
Semi Blind Color Image Watermarking using Slant Transform,Shashidhar Ram Joshi
Optimal Materialized View Management in Distributed Environment Using Random Walk Approach,Shashidhar Ram Joshi
Fuzzy Clustering Based Blind Adaptive OFDM System,Shashidhar Ram Joshi
Performance Evaluation of Slant Transform based Gray Image Watermarking against Common Geometric Attacks,Shashidhar Ram Joshi
Semester Exam auTomation System of Ioe (SETISI),Shashidhar Ram Joshi
Service Provider IPv4 to IPv6 Network Migration Strategies,Shashidhar Ram Joshi
"Comparative Analysis of Color Image Watermarking Technique in RGB, YUV, and YCbCr Color Channels",Shashidhar Ram Joshi
"Gray image watermarking using slant transform, lifting wavelet transform and singular value decomposition",Shashidhar Ram Joshi
